NFSP C++ Hold'em holdem_64x64_baseline (nfsp) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep   6650000/50000000] avg_r=  0.038 | h2h=  0.0000 | br=15.7400 | avg= 0.5466 |   3087 ep/s | 36.8m
[Ep   6700000/50000000] avg_r=  0.019 | h2h=  0.0000 | br=15.7227 | avg= 0.5483 |   3073 ep/s | 37.1m
[Ep   6750000/50000000] avg_r=  0.117 | h2h=  0.0000 | br=15.6106 | avg= 0.5490 |   3087 ep/s | 37.4m
[Ep   6800000/50000000] avg_r=  0.068 | h2h=  0.0000 | br=15.5157 | avg= 0.5464 |   3077 ep/s | 37.7m
[Ep   6850000/50000000] avg_r=  0.095 | h2h=  0.0000 | br=15.5801 | avg= 0.5484 |   3106 ep/s | 37.9m
[Ep   6900000/50000000] avg_r=  0.104 | h2h=  0.0000 | br=15.4966 | avg= 0.5488 |   3069 ep/s | 38.2m
[Ep   6950000/50000000] avg_r= -0.003 | h2h=  0.0000 | br=15.4045 | avg= 0.5487 |   3092 ep/s | 38.5m
[Ep   7000000/50000000] avg_r=  0.030 | h2h=  0.0000 | br=15.2080 | avg= 0.5485 |   3079 ep/s | 38.7m
[Ep   7050000/50000000] avg_r= -0.010 | h2h=  0.0000 | br=15.2790 | avg= 0.5485 |   3096 ep/s | 39.0m
[Ep   7100000/50000000] avg_r= -0.039 | h2h=  0.0000 | br=15.3925 | avg= 0.5512 |   3094 ep/s | 39.3m
[Ep   7150000/50000000] avg_r=  0.081 | h2h=  0.0000 | br=15.3079 | avg= 0.5503 |   3092 ep/s | 39.5m
[Ep   7200000/50000000] avg_r= -0.017 | h2h=  0.0000 | br=15.1501 | avg= 0.5514 |   3105 ep/s | 39.8m
[Ep   7250000/50000000] avg_r=  0.094 | h2h=  0.0000 | br=14.9948 | avg= 0.5512 |   3060 ep/s | 40.1m
[Ep   7300000/50000000] avg_r=  0.042 | h2h=  0.0000 | br=15.3421 | avg= 0.5505 |   3117 ep/s | 40.3m
[Ep   7350000/50000000] avg_r=  0.052 | h2h=  0.0000 | br=15.0291 | avg= 0.5514 |   3119 ep/s | 40.6m
[Ep   7400000/50000000] avg_r=  0.051 | h2h=  0.0000 | br=15.0968 | avg= 0.5510 |   3087 ep/s | 40.9m
[Ep   7450000/50000000] avg_r=  0.064 | h2h=  0.0000 | br=15.0087 | avg= 0.5516 |   3101 ep/s | 41.2m
[Ep   7500000/50000000] avg_r=  0.080 | h2h=  0.0000 | br=15.0771 | avg= 0.5527 |   3109 ep/s | 41.4m
[Ep   7550000/50000000] avg_r= -0.002 | h2h=  0.0000 | br=15.1151 | avg= 0.5524 |   3114 ep/s | 41.7m
[Ep   7600000/50000000] avg_r= -0.011 | h2h=  0.0000 | br=15.0141 | avg= 0.5538 |   3061 ep/s | 42.0m
[Ep   7650000/50000000] avg_r=  0.061 | h2h=  0.0000 | br=15.0223 | avg= 0.5522 |   3109 ep/s | 42.2m
[Ep   7700000/50000000] avg_r= -0.014 | h2h=  0.0000 | br=15.0293 | avg= 0.5509 |   3085 ep/s | 42.5m
[Ep   7750000/50000000] avg_r=  0.075 | h2h=  0.0000 | br=15.0089 | avg= 0.5529 |   3118 ep/s | 42.8m
[Ep   7800000/50000000] avg_r=  0.034 | h2h=  0.0000 | br=14.9816 | avg= 0.5513 |   3064 ep/s | 43.0m
[Ep   7850000/50000000] avg_r= -0.016 | h2h=  0.0000 | br=15.0145 | avg= 0.5514 |   3117 ep/s | 43.3m
[Ep   7900000/50000000] avg_r=  0.042 | h2h=  0.0000 | br=14.9824 | avg= 0.5532 |   3109 ep/s | 43.6m
[Ep   7950000/50000000] avg_r=  0.015 | h2h=  0.0000 | br=14.9935 | avg= 0.5533 |   3084 ep/s | 43.8m
[Ep   8000000/50000000] avg_r= -0.055 | h2h=  0.0000 | br=14.8260 | avg= 0.5539 |   3102 ep/s | 44.1m
[Ep   8050000/50000000] avg_r=  0.043 | h2h=  0.0000 | br=14.8844 | avg= 0.5547 |   3121 ep/s | 44.4m
[Ep   8100000/50000000] avg_r=  0.072 | h2h=  0.0000 | br=14.6939 | avg= 0.5540 |   3088 ep/s | 44.7m
[Ep   8150000/50000000] avg_r=  0.031 | h2h=  0.0000 | br=14.8979 | avg= 0.5531 |   3113 ep/s | 44.9m
[Ep   8200000/50000000] avg_r=  0.084 | h2h=  0.0000 | br=14.9466 | avg= 0.5524 |   3010 ep/s | 45.2m
[Ep   8250000/50000000] avg_r=  0.012 | h2h=  0.0000 | br=14.9307 | avg= 0.5523 |   3098 ep/s | 45.5m
[Ep   8300000/50000000] avg_r=  0.026 | h2h=  0.0000 | br=15.0656 | avg= 0.5530 |   3081 ep/s | 45.7m
[Ep   8350000/50000000] avg_r=  0.123 | h2h=  0.0000 | br=14.6885 | avg= 0.5538 |   3116 ep/s | 46.0m
[Ep   8400000/50000000] avg_r=  0.032 | h2h=  0.0000 | br=14.6777 | avg= 0.5536 |   3105 ep/s | 46.3m
[Ep   8450000/50000000] avg_r=  0.031 | h2h=  0.0000 | br=14.7199 | avg= 0.5527 |   3105 ep/s | 46.5m
[Ep   8500000/50000000] avg_r=  0.037 | h2h=  0.0000 | br=14.7464 | avg= 0.5530 |   3081 ep/s | 46.8m
[Ep   8550000/50000000] avg_r=  0.074 | h2h=  0.0000 | br=14.8039 | avg= 0.5532 |   3130 ep/s | 47.1m
[Ep   8600000/50000000] avg_r= -0.029 | h2h=  0.0000 | br=14.5692 | avg= 0.5528 |   3092 ep/s | 47.3m
[Ep   8650000/50000000] avg_r=  0.074 | h2h=  0.0000 | br=14.5473 | avg= 0.5547 |   3126 ep/s | 47.6m
[Ep   8700000/50000000] avg_r= -0.040 | h2h=  0.0000 | br=14.5705 | avg= 0.5530 |   3153 ep/s | 47.9m
[Ep   8750000/50000000] avg_r= -0.028 | h2h=  0.0000 | br=14.5734 | avg= 0.5538 |   3134 ep/s | 48.1m
[Ep   8800000/50000000] avg_r=  0.018 | h2h=  0.0000 | br=14.4585 | avg= 0.5540 |   3109 ep/s | 48.4m
[Ep   8850000/50000000] avg_r= -0.002 | h2h=  0.0000 | br=14.2426 | avg= 0.5552 |   3077 ep/s | 48.7m
[Ep   8900000/50000000] avg_r= -0.009 | h2h=  0.0000 | br=14.2529 | avg= 0.5552 |   3182 ep/s | 48.9m
[Ep   8950000/50000000] avg_r=  0.068 | h2h=  0.0000 | br=14.3279 | avg= 0.5547 |   3159 ep/s | 49.2m
[Ep   9000000/50000000] avg_r=  0.015 | h2h=  0.0000 | br=14.2623 | avg= 0.5551 |   3122 ep/s | 49.5m
[Ep   9050000/50000000] avg_r= -0.020 | h2h=  0.0000 | br=14.2523 | avg= 0.5551 |   3102 ep/s | 49.7m
[Ep   9100000/50000000] avg_r= -0.016 | h2h=  0.0000 | br=14.0346 | avg= 0.5557 |   3099 ep/s | 50.0m
[Ep   9150000/50000000] avg_r= -0.035 | h2h=  0.0000 | br=14.2528 | avg= 0.5549 |   3096 ep/s | 50.3m
[Ep   9200000/50000000] avg_r= -0.015 | h2h=  0.0000 | br=14.3117 | avg= 0.5540 |   3119 ep/s | 50.5m
[Ep   9250000/50000000] avg_r=  0.025 | h2h=  0.0000 | br=14.1435 | avg= 0.5550 |   3132 ep/s | 50.8m
[Ep   9300000/50000000] avg_r= -0.031 | h2h=  0.0000 | br=14.1964 | avg= 0.5549 |   3080 ep/s | 51.1m
