NFSP C++ Hold'em holdem_64x64_meanvar (nfsp_iqn) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep   3900000/50000000] avg_r= -0.012 | h2h=  0.0000 | br= 2.6360 | avg= 0.4237 |   3073 ep/s | 21.3m
[Ep   3950000/50000000] avg_r=  0.115 | h2h=  0.0000 | br= 2.6361 | avg= 0.4247 |   3033 ep/s | 21.5m
[Ep   4000000/50000000] avg_r=  0.062 | h2h=  0.0000 | br= 2.6381 | avg= 0.4252 |   3027 ep/s | 21.8m
[Ep   4050000/50000000] avg_r=  0.045 | h2h=  0.0000 | br= 2.6362 | avg= 0.4260 |   3040 ep/s | 22.1m
[Ep   4100000/50000000] avg_r= -0.030 | h2h=  0.0000 | br= 2.6359 | avg= 0.4259 |   3005 ep/s | 22.4m
[Ep   4150000/50000000] avg_r=  0.162 | h2h=  0.0000 | br= 2.6374 | avg= 0.4261 |   3016 ep/s | 22.6m
[Ep   4200000/50000000] avg_r=  0.025 | h2h=  0.0000 | br= 2.6345 | avg= 0.4263 |   3108 ep/s | 22.9m
[Ep   4250000/50000000] avg_r=  0.061 | h2h=  0.0000 | br= 2.6340 | avg= 0.4238 |   3068 ep/s | 23.2m
[Ep   4300000/50000000] avg_r=  0.097 | h2h=  0.0000 | br= 2.6363 | avg= 0.4255 |   3078 ep/s | 23.5m
[Ep   4350000/50000000] avg_r=  0.008 | h2h=  0.0000 | br= 2.6366 | avg= 0.4248 |   3056 ep/s | 23.7m
[Ep   4400000/50000000] avg_r= -0.019 | h2h=  0.0000 | br= 2.6384 | avg= 0.4308 |   3033 ep/s | 24.0m
[Ep   4450000/50000000] avg_r=  0.134 | h2h=  0.0000 | br= 2.6361 | avg= 0.4342 |   3026 ep/s | 24.3m
[Ep   4500000/50000000] avg_r=  0.044 | h2h=  0.0000 | br= 2.6125 | avg= 0.4293 |   3004 ep/s | 24.6m
[Ep   4550000/50000000] avg_r=  0.093 | h2h=  0.0000 | br= 2.5939 | avg= 0.4030 |   3000 ep/s | 24.8m
[Ep   4600000/50000000] avg_r=  0.101 | h2h=  0.0000 | br= 2.6035 | avg= 0.4013 |   2998 ep/s | 25.1m
[Ep   4650000/50000000] avg_r=  0.061 | h2h=  0.0000 | br= 2.6238 | avg= 0.4216 |   3081 ep/s | 25.4m
[Ep   4700000/50000000] avg_r=  0.029 | h2h=  0.0000 | br= 2.5853 | avg= 0.4355 |   3088 ep/s | 25.6m
[Ep   4750000/50000000] avg_r=  0.060 | h2h=  0.0000 | br= 2.5403 | avg= 0.4393 |   3070 ep/s | 25.9m
[Ep   4800000/50000000] avg_r=  0.164 | h2h=  0.0000 | br= 2.5334 | avg= 0.4418 |   3042 ep/s | 26.2m
[Ep   4850000/50000000] avg_r=  0.035 | h2h=  0.0000 | br= 2.5330 | avg= 0.4439 |   3039 ep/s | 26.5m
[Ep   4900000/50000000] avg_r=  0.197 | h2h=  0.0000 | br= 2.5322 | avg= 0.4477 |   3121 ep/s | 26.7m
[Ep   4950000/50000000] avg_r=  0.034 | h2h=  0.0000 | br= 2.5323 | avg= 0.4475 |   3113 ep/s | 27.0m
[Ep   5000000/50000000] avg_r=  0.102 | h2h=  0.0000 | br= 2.5315 | avg= 0.4493 |   3095 ep/s | 27.3m
[Ep   5050000/50000000] avg_r=  0.076 | h2h=  0.0000 | br= 2.5321 | avg= 0.4516 |   3065 ep/s | 27.5m
[Ep   5100000/50000000] avg_r=  0.102 | h2h=  0.0000 | br= 2.5327 | avg= 0.4521 |   3068 ep/s | 27.8m
[Ep   5150000/50000000] avg_r=  0.006 | h2h=  0.0000 | br= 2.5336 | avg= 0.4539 |   3124 ep/s | 28.1m
[Ep   5200000/50000000] avg_r=  0.121 | h2h=  0.0000 | br= 2.5334 | avg= 0.4567 |   3051 ep/s | 28.4m
[Ep   5250000/50000000] avg_r=  0.005 | h2h=  0.0000 | br= 2.5293 | avg= 0.4561 |   3117 ep/s | 28.6m
[Ep   5300000/50000000] avg_r=  0.088 | h2h=  0.0000 | br= 2.5279 | avg= 0.4568 |   3092 ep/s | 28.9m
[Ep   5350000/50000000] avg_r=  0.052 | h2h=  0.0000 | br= 2.5275 | avg= 0.4568 |   3033 ep/s | 29.2m
[Ep   5400000/50000000] avg_r=  0.014 | h2h=  0.0000 | br= 2.5287 | avg= 0.4575 |   3098 ep/s | 29.4m
[Ep   5450000/50000000] avg_r= -0.000 | h2h=  0.0000 | br= 2.5313 | avg= 0.4584 |   3078 ep/s | 29.7m
[Ep   5500000/50000000] avg_r=  0.013 | h2h=  0.0000 | br= 2.5285 | avg= 0.4594 |   3029 ep/s | 30.0m
[Ep   5550000/50000000] avg_r=  0.104 | h2h=  0.0000 | br= 2.5292 | avg= 0.4585 |   3036 ep/s | 30.3m
[Ep   5600000/50000000] avg_r=  0.007 | h2h=  0.0000 | br= 2.5320 | avg= 0.4594 |   3037 ep/s | 30.5m
[Ep   5650000/50000000] avg_r=  0.060 | h2h=  0.0000 | br= 2.5310 | avg= 0.4603 |   3039 ep/s | 30.8m
[Ep   5700000/50000000] avg_r=  0.065 | h2h=  0.0000 | br= 2.5292 | avg= 0.4605 |   3060 ep/s | 31.1m
[Ep   5750000/50000000] avg_r=  0.059 | h2h=  0.0000 | br= 2.5265 | avg= 0.4590 |   3047 ep/s | 31.4m
[Ep   5800000/50000000] avg_r=  0.062 | h2h=  0.0000 | br= 2.5248 | avg= 0.4596 |   3072 ep/s | 31.6m
[Ep   5850000/50000000] avg_r=  0.051 | h2h=  0.0000 | br= 2.5300 | avg= 0.4605 |   3021 ep/s | 31.9m
[Ep   5900000/50000000] avg_r=  0.085 | h2h=  0.0000 | br= 2.5279 | avg= 0.4615 |   3070 ep/s | 32.2m
[Ep   5950000/50000000] avg_r=  0.154 | h2h=  0.0000 | br= 2.5302 | avg= 0.4606 |   3084 ep/s | 32.4m
[Ep   6000000/50000000] avg_r=  0.035 | h2h=  0.0000 | br= 2.5292 | avg= 0.4605 |   3105 ep/s | 32.7m
[Ep   6050000/50000000] avg_r=  0.077 | h2h=  0.0000 | br= 2.5280 | avg= 0.4600 |   3059 ep/s | 33.0m
[Ep   6100000/50000000] avg_r=  0.074 | h2h=  0.0000 | br= 2.5271 | avg= 0.4585 |   3084 ep/s | 33.3m
[Ep   6150000/50000000] avg_r=  0.129 | h2h=  0.0000 | br= 2.5286 | avg= 0.4548 |   3081 ep/s | 33.5m
[Ep   6200000/50000000] avg_r=  0.034 | h2h=  0.0000 | br= 2.5317 | avg= 0.4417 |   3147 ep/s | 33.8m
[Ep   6250000/50000000] avg_r=  0.072 | h2h=  0.0000 | br= 2.5304 | avg= 0.4410 |   3172 ep/s | 34.0m
[Ep   6300000/50000000] avg_r= -0.043 | h2h=  0.0000 | br= 2.5292 | avg= 0.4465 |   3168 ep/s | 34.3m
[Ep   6350000/50000000] avg_r= -0.020 | h2h=  0.0000 | br= 2.5221 | avg= 0.4613 |   3271 ep/s | 34.6m
[Ep   6400000/50000000] avg_r=  0.015 | h2h=  0.0000 | br= 2.5148 | avg= 0.4593 |   3223 ep/s | 34.8m
[Ep   6450000/50000000] avg_r= -0.034 | h2h=  0.0000 | br= 2.5108 | avg= 0.4610 |   3225 ep/s | 35.1m
[Ep   6500000/50000000] avg_r=  0.057 | h2h=  0.0000 | br= 2.5144 | avg= 0.4607 |   3246 ep/s | 35.3m
[Ep   6550000/50000000] avg_r= -0.001 | h2h=  0.0000 | br= 2.5123 | avg= 0.4595 |   3255 ep/s | 35.6m
[Ep   6600000/50000000] avg_r=  0.040 | h2h=  0.0000 | br= 2.5123 | avg= 0.4617 |   3245 ep/s | 35.9m
[Ep   6650000/50000000] avg_r=  0.008 | h2h=  0.0000 | br= 2.5137 | avg= 0.4607 |   3259 ep/s | 36.1m
[Ep   6700000/50000000] avg_r=  0.018 | h2h=  0.0000 | br= 2.5109 | avg= 0.4555 |   3222 ep/s | 36.4m
[Ep   6750000/50000000] avg_r=  0.052 | h2h=  0.0000 | br= 2.5132 | avg= 0.4408 |   3224 ep/s | 36.6m
[Ep   6800000/50000000] avg_r=  0.077 | h2h=  0.0000 | br= 2.5132 | avg= 0.4417 |   3206 ep/s | 36.9m
[Ep   6850000/50000000] avg_r=  0.075 | h2h=  0.0000 | br= 2.5134 | avg= 0.4415 |   3181 ep/s | 37.1m
[Ep   6900000/50000000] avg_r=  0.011 | h2h=  0.0000 | br= 2.5035 | avg= 0.4587 |   3260 ep/s | 37.4m
[Ep   6950000/50000000] avg_r=  0.114 | h2h=  0.0000 | br= 2.4795 | avg= 0.4603 |   3267 ep/s | 37.7m
[Ep   7000000/50000000] avg_r=  0.075 | h2h=  0.0000 | br= 2.4619 | avg= 0.4608 |   3250 ep/s | 37.9m
[Ep   7050000/50000000] avg_r= -0.028 | h2h=  0.0000 | br= 2.4619 | avg= 0.4607 |   3191 ep/s | 38.2m
[Ep   7100000/50000000] avg_r= -0.005 | h2h=  0.0000 | br= 2.4565 | avg= 0.4612 |   3319 ep/s | 38.4m
[Ep   7150000/50000000] avg_r= -0.058 | h2h=  0.0000 | br= 2.4598 | avg= 0.4624 |   3254 ep/s | 38.7m
[Ep   7200000/50000000] avg_r=  0.058 | h2h=  0.0000 | br= 2.4648 | avg= 0.4619 |   3261 ep/s | 38.9m
[Ep   7250000/50000000] avg_r= -0.037 | h2h=  0.0000 | br= 2.4666 | avg= 0.4623 |   3238 ep/s | 39.2m
[Ep   7300000/50000000] avg_r=  0.036 | h2h=  0.0000 | br= 2.4630 | avg= 0.4615 |   3300 ep/s | 39.4m
[Ep   7350000/50000000] avg_r=  0.080 | h2h=  0.0000 | br= 2.4591 | avg= 0.4627 |   3263 ep/s | 39.7m
[Ep   7400000/50000000] avg_r=  0.048 | h2h=  0.0000 | br= 2.4633 | avg= 0.4618 |   3290 ep/s | 40.0m
[Ep   7450000/50000000] avg_r= -0.034 | h2h=  0.0000 | br= 2.4620 | avg= 0.4613 |   3260 ep/s | 40.2m
[Ep   7500000/50000000] avg_r=  0.038 | h2h=  0.0000 | br= 2.4584 | avg= 0.4618 |   3226 ep/s | 40.5m
