NFSP C++ Hold'em holdem_64x64_iqn_neutral (nfsp_iqn) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep   4700000/50000000] avg_r=  0.234 | h2h=  0.0000 | br= 2.5694 | avg= 0.5102 |   2926 ep/s | 26.7m
[Ep   4750000/50000000] avg_r=  0.031 | h2h=  0.0000 | br= 2.5573 | avg= 0.4890 |   2969 ep/s | 27.0m
[Ep   4800000/50000000] avg_r=  0.171 | h2h=  0.0000 | br= 2.5452 | avg= 0.4899 |   2953 ep/s | 27.2m
[Ep   4850000/50000000] avg_r=  0.058 | h2h=  0.0000 | br= 2.5378 | avg= 0.4938 |   2921 ep/s | 27.5m
[Ep   4900000/50000000] avg_r=  0.184 | h2h=  0.0000 | br= 2.5340 | avg= 0.4950 |   2933 ep/s | 27.8m
[Ep   4950000/50000000] avg_r=  0.192 | h2h=  0.0000 | br= 2.5330 | avg= 0.4941 |   2920 ep/s | 28.1m
[Ep   5000000/50000000] avg_r=  0.190 | h2h=  0.0000 | br= 2.5320 | avg= 0.4955 |   2932 ep/s | 28.4m
[Ep   5050000/50000000] avg_r=  0.214 | h2h=  0.0000 | br= 2.5316 | avg= 0.4979 |   2908 ep/s | 28.7m
[Ep   5100000/50000000] avg_r=  0.231 | h2h=  0.0000 | br= 2.5351 | avg= 0.4986 |   2927 ep/s | 28.9m
[Ep   5150000/50000000] avg_r=  0.164 | h2h=  0.0000 | br= 2.5344 | avg= 0.4994 |   2960 ep/s | 29.2m
[Ep   5200000/50000000] avg_r=  0.121 | h2h=  0.0000 | br= 2.5325 | avg= 0.4987 |   2956 ep/s | 29.5m
[Ep   5250000/50000000] avg_r=  0.104 | h2h=  0.0000 | br= 2.5330 | avg= 0.4983 |   2920 ep/s | 29.8m
[Ep   5300000/50000000] avg_r=  0.125 | h2h=  0.0000 | br= 2.5341 | avg= 0.4923 |   2952 ep/s | 30.1m
[Ep   5350000/50000000] avg_r=  0.153 | h2h=  0.0000 | br= 2.5343 | avg= 0.4909 |   2878 ep/s | 30.4m
[Ep   5400000/50000000] avg_r=  0.180 | h2h=  0.0000 | br= 2.5405 | avg= 0.4936 |   2928 ep/s | 30.7m
[Ep   5450000/50000000] avg_r=  0.185 | h2h=  0.0000 | br= 2.5576 | avg= 0.5010 |   2935 ep/s | 30.9m
[Ep   5500000/50000000] avg_r=  0.129 | h2h=  0.0000 | br= 2.5549 | avg= 0.5027 |   2933 ep/s | 31.2m
[Ep   5550000/50000000] avg_r=  0.062 | h2h=  0.0000 | br= 2.5543 | avg= 0.5021 |   2925 ep/s | 31.5m
[Ep   5600000/50000000] avg_r=  0.109 | h2h=  0.0000 | br= 2.5533 | avg= 0.5034 |   2916 ep/s | 31.8m
[Ep   5650000/50000000] avg_r=  0.161 | h2h=  0.0000 | br= 2.5548 | avg= 0.5021 |   2934 ep/s | 32.1m
[Ep   5700000/50000000] avg_r=  0.134 | h2h=  0.0000 | br= 2.5534 | avg= 0.5039 |   2902 ep/s | 32.4m
[Ep   5750000/50000000] avg_r=  0.105 | h2h=  0.0000 | br= 2.5545 | avg= 0.5044 |   2917 ep/s | 32.6m
[Ep   5800000/50000000] avg_r=  0.076 | h2h=  0.0000 | br= 2.5520 | avg= 0.5046 |   2958 ep/s | 32.9m
[Ep   5850000/50000000] avg_r=  0.193 | h2h=  0.0000 | br= 2.5530 | avg= 0.5052 |   2882 ep/s | 33.2m
[Ep   5900000/50000000] avg_r=  0.249 | h2h=  0.0000 | br= 2.5548 | avg= 0.5188 |   2907 ep/s | 33.5m
[Ep   5950000/50000000] avg_r=  0.007 | h2h=  0.0000 | br= 2.5556 | avg= 0.5421 |   2955 ep/s | 33.8m
[Ep   6000000/50000000] avg_r=  0.112 | h2h=  0.0000 | br= 2.5327 | avg= 0.5253 |   2935 ep/s | 34.1m
[Ep   6050000/50000000] avg_r=  0.106 | h2h=  0.0000 | br= 2.4578 | avg= 0.5048 |   3037 ep/s | 34.3m
[Ep   6100000/50000000] avg_r=  0.054 | h2h=  0.0000 | br= 2.4097 | avg= 0.5054 |   3016 ep/s | 34.6m
[Ep   6150000/50000000] avg_r=  0.101 | h2h=  0.0000 | br= 2.3949 | avg= 0.5075 |   3028 ep/s | 34.9m
[Ep   6200000/50000000] avg_r=  0.087 | h2h=  0.0000 | br= 2.3989 | avg= 0.5079 |   2953 ep/s | 35.2m
[Ep   6250000/50000000] avg_r=  0.084 | h2h=  0.0000 | br= 2.3979 | avg= 0.5085 |   3021 ep/s | 35.5m
[Ep   6300000/50000000] avg_r=  0.043 | h2h=  0.0000 | br= 2.3959 | avg= 0.5087 |   3005 ep/s | 35.7m
[Ep   6350000/50000000] avg_r=  0.098 | h2h=  0.0000 | br= 2.3950 | avg= 0.5088 |   2988 ep/s | 36.0m
[Ep   6400000/50000000] avg_r= -0.034 | h2h=  0.0000 | br= 2.3932 | avg= 0.5095 |   2994 ep/s | 36.3m
[Ep   6450000/50000000] avg_r=  0.075 | h2h=  0.0000 | br= 2.3934 | avg= 0.5097 |   2975 ep/s | 36.6m
[Ep   6500000/50000000] avg_r=  0.142 | h2h=  0.0000 | br= 2.3948 | avg= 0.5107 |   2979 ep/s | 36.8m
[Ep   6550000/50000000] avg_r=  0.110 | h2h=  0.0000 | br= 2.4007 | avg= 0.5095 |   2965 ep/s | 37.1m
[Ep   6600000/50000000] avg_r=  0.081 | h2h=  0.0000 | br= 2.3989 | avg= 0.5101 |   3009 ep/s | 37.4m
[Ep   6650000/50000000] avg_r=  0.127 | h2h=  0.0000 | br= 2.3972 | avg= 0.5110 |   2994 ep/s | 37.7m
[Ep   6700000/50000000] avg_r=  0.062 | h2h=  0.0000 | br= 2.3990 | avg= 0.5104 |   3027 ep/s | 38.0m
[Ep   6750000/50000000] avg_r=  0.108 | h2h=  0.0000 | br= 2.4006 | avg= 0.5100 |   3002 ep/s | 38.2m
[Ep   6800000/50000000] avg_r=  0.050 | h2h=  0.0000 | br= 2.3992 | avg= 0.5106 |   3010 ep/s | 38.5m
[Ep   6850000/50000000] avg_r=  0.172 | h2h=  0.0000 | br= 2.3962 | avg= 0.5100 |   2983 ep/s | 38.8m
[Ep   6900000/50000000] avg_r=  0.108 | h2h=  0.0000 | br= 2.3986 | avg= 0.5092 |   2990 ep/s | 39.1m
[Ep   6950000/50000000] avg_r=  0.066 | h2h=  0.0000 | br= 2.3959 | avg= 0.5103 |   2982 ep/s | 39.4m
[Ep   7000000/50000000] avg_r=  0.095 | h2h=  0.0000 | br= 2.3954 | avg= 0.5098 |   2995 ep/s | 39.6m
[Ep   7050000/50000000] avg_r=  0.168 | h2h=  0.0000 | br= 2.3966 | avg= 0.5089 |   2970 ep/s | 39.9m
[Ep   7100000/50000000] avg_r=  0.142 | h2h=  0.0000 | br= 2.3936 | avg= 0.5095 |   2994 ep/s | 40.2m
[Ep   7150000/50000000] avg_r=  0.113 | h2h=  0.0000 | br= 2.3938 | avg= 0.5102 |   2977 ep/s | 40.5m
[Ep   7200000/50000000] avg_r=  0.023 | h2h=  0.0000 | br= 2.3958 | avg= 0.5101 |   2985 ep/s | 40.7m
[Ep   7250000/50000000] avg_r=  0.110 | h2h=  0.0000 | br= 2.3941 | avg= 0.5108 |   3000 ep/s | 41.0m
[Ep   7300000/50000000] avg_r=  0.157 | h2h=  0.0000 | br= 2.3956 | avg= 0.5132 |   2986 ep/s | 41.3m
[Ep   7350000/50000000] avg_r= -0.013 | h2h=  0.0000 | br= 2.3975 | avg= 0.5136 |   2960 ep/s | 41.6m
[Ep   7400000/50000000] avg_r=  0.153 | h2h=  0.0000 | br= 2.3986 | avg= 0.5113 |   2981 ep/s | 41.9m
[Ep   7450000/50000000] avg_r=  0.183 | h2h=  0.0000 | br= 2.3937 | avg= 0.5086 |   2923 ep/s | 42.2m
[Ep   7500000/50000000] avg_r=  0.160 | h2h=  0.0000 | br= 2.3944 | avg= 0.5107 |   2995 ep/s | 42.4m
