NFSP C++ Hold'em holdem_64x64_mv_train_std_full (nfsp_iqn) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep   3050000/50000000] avg_r=  0.107 | h2h=  0.0000 | br= 0.9531 | avg= 0.3775 | fc=0.291 |   2292 ep/s | 23.2m
[Ep   3100000/50000000] avg_r=  0.049 | h2h=  0.0000 | br= 0.9554 | avg= 0.3777 | fc=0.275 |   2321 ep/s | 23.6m
[Ep   3150000/50000000] avg_r=  0.088 | h2h=  0.0000 | br= 0.9585 | avg= 0.3794 | fc=0.250 |   2323 ep/s | 23.9m
[Ep   3200000/50000000] avg_r=  0.128 | h2h=  0.0000 | br= 0.9566 | avg= 0.3775 | fc=0.250 |   2246 ep/s | 24.3m
[Ep   3250000/50000000] avg_r=  0.025 | h2h=  0.0000 | br= 0.9568 | avg= 0.3730 | fc=0.295 |   2304 ep/s | 24.7m
[Ep   3300000/50000000] avg_r=  0.136 | h2h=  0.0000 | br= 0.9544 | avg= 0.3728 | fc=0.295 |   2330 ep/s | 25.0m
[Ep   3350000/50000000] avg_r=  0.681 | h2h=  0.0000 | br= 0.9730 | avg= 0.3770 | fc=0.303 |   2306 ep/s | 25.4m
[Ep   3400000/50000000] avg_r=  1.210 | h2h=  0.0000 | br= 0.9565 | avg= 0.3819 | fc=0.330 |   2351 ep/s | 25.7m
[Ep   3450000/50000000] avg_r=  1.219 | h2h=  0.0000 | br= 0.9019 | avg= 0.3861 | fc=0.305 |   2392 ep/s | 26.1m
[Ep   3500000/50000000] avg_r=  1.337 | h2h=  0.0000 | br= 0.8792 | avg= 0.3865 | fc=0.266 |   2337 ep/s | 26.4m
[Ep   3550000/50000000] avg_r=  1.356 | h2h=  0.0000 | br= 0.8766 | avg= 0.3888 | fc=0.293 |   2339 ep/s | 26.8m
[Ep   3600000/50000000] avg_r=  1.229 | h2h=  0.0000 | br= 0.8722 | avg= 0.3895 | fc=0.301 |   2404 ep/s | 27.1m
[Ep   3650000/50000000] avg_r=  1.267 | h2h=  0.0000 | br= 0.8720 | avg= 0.3941 | fc=0.268 |   2382 ep/s | 27.5m
[Ep   3700000/50000000] avg_r=  1.317 | h2h=  0.0000 | br= 0.8745 | avg= 0.3944 | fc=0.297 |   2391 ep/s | 27.8m
[Ep   3750000/50000000] avg_r=  1.295 | h2h=  0.0000 | br= 0.8730 | avg= 0.3981 | fc=0.314 |   2421 ep/s | 28.2m
[Ep   3800000/50000000] avg_r=  1.241 | h2h=  0.0000 | br= 0.8744 | avg= 0.3974 | fc=0.252 |   2371 ep/s | 28.5m
[Ep   3850000/50000000] avg_r=  1.286 | h2h=  0.0000 | br= 0.8724 | avg= 0.3983 | fc=0.277 |   2341 ep/s | 28.9m
[Ep   3900000/50000000] avg_r=  1.283 | h2h=  0.0000 | br= 0.8708 | avg= 0.3990 | fc=0.301 |   2416 ep/s | 29.2m
[Ep   3950000/50000000] avg_r=  1.297 | h2h=  0.0000 | br= 0.8691 | avg= 0.3983 | fc=0.291 |   2386 ep/s | 29.6m
[Ep   4000000/50000000] avg_r=  1.279 | h2h=  0.0000 | br= 0.8695 | avg= 0.3992 | fc=0.285 |   2382 ep/s | 29.9m
[Ep   4050000/50000000] avg_r=  1.249 | h2h=  0.0000 | br= 0.8711 | avg= 0.4012 | fc=0.285 |   2380 ep/s | 30.3m
[Ep   4100000/50000000] avg_r=  1.340 | h2h=  0.0000 | br= 0.8730 | avg= 0.4016 | fc=0.295 |   2379 ep/s | 30.6m
[Ep   4150000/50000000] avg_r=  1.424 | h2h=  0.0000 | br= 0.8698 | avg= 0.4020 | fc=0.297 |   2358 ep/s | 31.0m
[Ep   4200000/50000000] avg_r=  1.291 | h2h=  0.0000 | br= 0.8699 | avg= 0.4022 | fc=0.271 |   2373 ep/s | 31.3m
[Ep   4250000/50000000] avg_r=  1.242 | h2h=  0.0000 | br= 0.8711 | avg= 0.4041 | fc=0.275 |   2515 ep/s | 31.7m
[Ep   4300000/50000000] avg_r=  1.313 | h2h=  0.0000 | br= 0.8691 | avg= 0.4028 | fc=0.246 |   2435 ep/s | 32.0m
[Ep   4350000/50000000] avg_r=  1.276 | h2h=  0.0000 | br= 0.8667 | avg= 0.4034 | fc=0.266 |   2398 ep/s | 32.4m
[Ep   4400000/50000000] avg_r=  1.228 | h2h=  0.0000 | br= 0.8701 | avg= 0.4043 | fc=0.283 |   2341 ep/s | 32.7m
[Ep   4450000/50000000] avg_r=  1.321 | h2h=  0.0000 | br= 0.8666 | avg= 0.4039 | fc=0.301 |   2364 ep/s | 33.1m
[Ep   4500000/50000000] avg_r=  1.263 | h2h=  0.0000 | br= 0.8655 | avg= 0.4034 | fc=0.301 |   2352 ep/s | 33.4m
[Ep   4550000/50000000] avg_r=  1.239 | h2h=  0.0000 | br= 0.8660 | avg= 0.4035 | fc=0.250 |   2381 ep/s | 33.8m
[Ep   4600000/50000000] avg_r=  1.229 | h2h=  0.0000 | br= 0.8708 | avg= 0.4055 | fc=0.295 |   2350 ep/s | 34.1m
[Ep   4650000/50000000] avg_r=  1.250 | h2h=  0.0000 | br= 0.8657 | avg= 0.4037 | fc=0.283 |   2369 ep/s | 34.5m
[Ep   4700000/50000000] avg_r=  1.253 | h2h=  0.0000 | br= 0.8714 | avg= 0.4028 | fc=0.270 |   2450 ep/s | 34.8m
[Ep   4750000/50000000] avg_r=  1.317 | h2h=  0.0000 | br= 0.8695 | avg= 0.4036 | fc=0.283 |   2381 ep/s | 35.2m
[Ep   4800000/50000000] avg_r=  1.263 | h2h=  0.0000 | br= 0.8666 | avg= 0.4030 | fc=0.266 |   2387 ep/s | 35.5m
[Ep   4850000/50000000] avg_r=  1.317 | h2h=  0.0000 | br= 0.8675 | avg= 0.4036 | fc=0.271 |   2386 ep/s | 35.9m
[Ep   4900000/50000000] avg_r=  1.301 | h2h=  0.0000 | br= 0.8700 | avg= 0.4041 | fc=0.301 |   2353 ep/s | 36.2m
[Ep   4950000/50000000] avg_r=  1.288 | h2h=  0.0000 | br= 0.8653 | avg= 0.4033 | fc=0.295 |   2332 ep/s | 36.6m
[Ep   5000000/50000000] avg_r=  1.299 | h2h=  0.0000 | br= 0.8697 | avg= 0.4010 | fc=0.293 |   2398 ep/s | 36.9m
[Ep   5050000/50000000] avg_r=  1.260 | h2h=  0.0000 | br= 0.8687 | avg= 0.4006 | fc=0.301 |   2379 ep/s | 37.3m
[Ep   5100000/50000000] avg_r=  1.212 | h2h=  0.0000 | br= 0.8676 | avg= 0.3998 | fc=0.277 |   2370 ep/s | 37.6m
[Ep   5150000/50000000] avg_r=  1.262 | h2h=  0.0000 | br= 0.8679 | avg= 0.3997 | fc=0.262 |   2435 ep/s | 38.0m
[Ep   5200000/50000000] avg_r=  0.902 | h2h=  0.0000 | br= 0.8783 | avg= 0.4019 | fc=0.195 |   2439 ep/s | 38.3m
[Ep   5250000/50000000] avg_r=  0.267 | h2h=  0.0000 | br= 0.8806 | avg= 0.4063 | fc=0.197 |   2459 ep/s | 38.7m
[Ep   5300000/50000000] avg_r=  0.302 | h2h=  0.0000 | br= 0.8385 | avg= 0.4072 | fc=0.176 |   2428 ep/s | 39.0m
[Ep   5350000/50000000] avg_r=  0.257 | h2h=  0.0000 | br= 0.8168 | avg= 0.4083 | fc=0.176 |   2370 ep/s | 39.4m
[Ep   5400000/50000000] avg_r=  0.215 | h2h=  0.0000 | br= 0.8117 | avg= 0.4096 | fc=0.188 |   2382 ep/s | 39.7m
[Ep   5450000/50000000] avg_r=  0.240 | h2h=  0.0000 | br= 0.8149 | avg= 0.4093 | fc=0.211 |   2408 ep/s | 40.0m
[Ep   5500000/50000000] avg_r=  0.286 | h2h=  0.0000 | br= 0.8151 | avg= 0.4135 | fc=0.209 |   2376 ep/s | 40.4m
[Ep   5550000/50000000] avg_r=  0.261 | h2h=  0.0000 | br= 0.8113 | avg= 0.4137 | fc=0.213 |   2428 ep/s | 40.7m
[Ep   5600000/50000000] avg_r=  0.295 | h2h=  0.0000 | br= 0.8100 | avg= 0.4141 | fc=0.232 |   2390 ep/s | 41.1m
