NFSP C++ Hold'em holdem_64x64_mv_train_std_10 (nfsp_iqn) | seed=42 | 50000000 episodes | 3 workers | arch=[64,64] | batch=256 | learn_every=256 | target=128000 | dqn_lr=0.002 | sl_lr=0.0002 | dqn_buf=600000 | res_buf=15000000
==========================================================================================
[Ep   3850000/50000000] avg_r=  0.348 | h2h=  0.0000 | br= 1.2000 | avg= 0.3839 | fc=0.518 |   2272 ep/s | 28.5m
[Ep   3900000/50000000] avg_r=  0.373 | h2h=  0.0000 | br= 1.2026 | avg= 0.3850 | fc=0.475 |   2304 ep/s | 28.9m
[Ep   3950000/50000000] avg_r=  0.247 | h2h=  0.0000 | br= 1.1982 | avg= 0.3854 | fc=0.510 |   2331 ep/s | 29.2m
[Ep   4000000/50000000] avg_r=  0.268 | h2h=  0.0000 | br= 1.2016 | avg= 0.3836 | fc=0.496 |   2307 ep/s | 29.6m
[Ep   4050000/50000000] avg_r=  0.313 | h2h=  0.0000 | br= 1.1978 | avg= 0.3858 | fc=0.531 |   2335 ep/s | 29.9m
[Ep   4100000/50000000] avg_r=  0.336 | h2h=  0.0000 | br= 1.1982 | avg= 0.3883 | fc=0.502 |   2293 ep/s | 30.3m
[Ep   4150000/50000000] avg_r=  0.360 | h2h=  0.0000 | br= 1.1960 | avg= 0.3854 | fc=0.465 |   2280 ep/s | 30.7m
[Ep   4200000/50000000] avg_r=  0.308 | h2h=  0.0000 | br= 1.1972 | avg= 0.3858 | fc=0.486 |   2294 ep/s | 31.0m
[Ep   4250000/50000000] avg_r=  0.321 | h2h=  0.0000 | br= 1.1959 | avg= 0.3888 | fc=0.486 |   2310 ep/s | 31.4m
[Ep   4300000/50000000] avg_r=  0.324 | h2h=  0.0000 | br= 1.1979 | avg= 0.3874 | fc=0.484 |   2290 ep/s | 31.7m
[Ep   4350000/50000000] avg_r=  0.279 | h2h=  0.0000 | br= 1.1936 | avg= 0.3881 | fc=0.490 |   2309 ep/s | 32.1m
[Ep   4400000/50000000] avg_r=  0.295 | h2h=  0.0000 | br= 1.1945 | avg= 0.3881 | fc=0.492 |   2361 ep/s | 32.5m
[Ep   4450000/50000000] avg_r=  0.306 | h2h=  0.0000 | br= 1.1945 | avg= 0.3864 | fc=0.490 |   2291 ep/s | 32.8m
[Ep   4500000/50000000] avg_r=  0.318 | h2h=  0.0000 | br= 1.2001 | avg= 0.3870 | fc=0.484 |   2334 ep/s | 33.2m
[Ep   4550000/50000000] avg_r=  0.187 | h2h=  0.0000 | br= 1.1984 | avg= 0.3855 | fc=0.502 |   2300 ep/s | 33.5m
[Ep   4600000/50000000] avg_r=  0.331 | h2h=  0.0000 | br= 1.1956 | avg= 0.3846 | fc=0.502 |   2301 ep/s | 33.9m
[Ep   4650000/50000000] avg_r=  0.350 | h2h=  0.0000 | br= 1.1975 | avg= 0.3872 | fc=0.498 |   2394 ep/s | 34.3m
[Ep   4700000/50000000] avg_r=  0.349 | h2h=  0.0000 | br= 1.1946 | avg= 0.3867 | fc=0.535 |   2313 ep/s | 34.6m
[Ep   4750000/50000000] avg_r=  0.316 | h2h=  0.0000 | br= 1.1944 | avg= 0.3882 | fc=0.529 |   2350 ep/s | 35.0m
[Ep   4800000/50000000] avg_r=  0.404 | h2h=  0.0000 | br= 1.1934 | avg= 0.3851 | fc=0.502 |   2400 ep/s | 35.3m
[Ep   4850000/50000000] avg_r=  0.252 | h2h=  0.0000 | br= 1.1941 | avg= 0.3861 | fc=0.514 |   2336 ep/s | 35.7m
[Ep   4900000/50000000] avg_r=  0.378 | h2h=  0.0000 | br= 1.1921 | avg= 0.3859 | fc=0.533 |   2287 ep/s | 36.0m
[Ep   4950000/50000000] avg_r=  0.359 | h2h=  0.0000 | br= 1.1932 | avg= 0.3842 | fc=0.508 |   2318 ep/s | 36.4m
[Ep   5000000/50000000] avg_r=  0.346 | h2h=  0.0000 | br= 1.1933 | avg= 0.3853 | fc=0.518 |   2337 ep/s | 36.8m
[Ep   5050000/50000000] avg_r=  0.285 | h2h=  0.0000 | br= 1.1952 | avg= 0.3828 | fc=0.512 |   2252 ep/s | 37.1m
[Ep   5100000/50000000] avg_r=  0.343 | h2h=  0.0000 | br= 1.1937 | avg= 0.3825 | fc=0.473 |   2380 ep/s | 37.5m
[Ep   5150000/50000000] avg_r=  0.343 | h2h=  0.0000 | br= 1.1910 | avg= 0.3827 | fc=0.477 |   2272 ep/s | 37.8m
[Ep   5200000/50000000] avg_r=  0.372 | h2h=  0.0000 | br= 1.1945 | avg= 0.3822 | fc=0.543 |   2324 ep/s | 38.2m
[Ep   5250000/50000000] avg_r=  0.257 | h2h=  0.0000 | br= 1.1891 | avg= 0.3815 | fc=0.502 |   2237 ep/s | 38.6m
[Ep   5300000/50000000] avg_r=  0.389 | h2h=  0.0000 | br= 1.1883 | avg= 0.3804 | fc=0.494 |   2334 ep/s | 38.9m
[Ep   5350000/50000000] avg_r=  0.354 | h2h=  0.0000 | br= 1.1934 | avg= 0.3831 | fc=0.482 |   2291 ep/s | 39.3m
[Ep   5400000/50000000] avg_r=  0.308 | h2h=  0.0000 | br= 1.1942 | avg= 0.3798 | fc=0.496 |   2269 ep/s | 39.7m
[Ep   5450000/50000000] avg_r=  0.305 | h2h=  0.0000 | br= 1.1902 | avg= 0.3798 | fc=0.480 |   2320 ep/s | 40.0m
[Ep   5500000/50000000] avg_r=  0.299 | h2h=  0.0000 | br= 1.1910 | avg= 0.3790 | fc=0.502 |   2315 ep/s | 40.4m
[Ep   5550000/50000000] avg_r=  0.312 | h2h=  0.0000 | br= 1.1907 | avg= 0.3798 | fc=0.494 |   2296 ep/s | 40.7m
[Ep   5600000/50000000] avg_r=  0.322 | h2h=  0.0000 | br= 1.1887 | avg= 0.3784 | fc=0.488 |   2404 ep/s | 41.1m
[Ep   5650000/50000000] avg_r=  0.307 | h2h=  0.0000 | br= 1.1939 | avg= 0.3771 | fc=0.508 |   2365 ep/s | 41.4m
[Ep   5700000/50000000] avg_r=  0.357 | h2h=  0.0000 | br= 1.1918 | avg= 0.3780 | fc=0.490 |   2392 ep/s | 41.8m
[Ep   5750000/50000000] avg_r=  0.294 | h2h=  0.0000 | br= 1.1920 | avg= 0.3753 | fc=0.512 |   2312 ep/s | 42.1m
[Ep   5800000/50000000] avg_r=  0.416 | h2h=  0.0000 | br= 1.1946 | avg= 0.3767 | fc=0.518 |   2326 ep/s | 42.5m
[Ep   5850000/50000000] avg_r=  0.235 | h2h=  0.0000 | br= 1.1901 | avg= 0.3744 | fc=0.490 |   2313 ep/s | 42.9m
[Ep   5900000/50000000] avg_r=  0.330 | h2h=  0.0000 | br= 1.1919 | avg= 0.3746 | fc=0.500 |   2353 ep/s | 43.2m
[Ep   5950000/50000000] avg_r=  0.289 | h2h=  0.0000 | br= 1.1912 | avg= 0.3758 | fc=0.494 |   2332 ep/s | 43.6m
[Ep   6000000/50000000] avg_r=  0.255 | h2h=  0.0000 | br= 1.1928 | avg= 0.3750 | fc=0.498 |   2430 ep/s | 43.9m
[Ep   6050000/50000000] avg_r=  0.298 | h2h=  0.0000 | br= 1.1905 | avg= 0.3768 | fc=0.494 |   2317 ep/s | 44.3m
[Ep   6100000/50000000] avg_r=  0.296 | h2h=  0.0000 | br= 1.1919 | avg= 0.3759 | fc=0.484 |   2330 ep/s | 44.6m
[Ep   6150000/50000000] avg_r=  0.358 | h2h=  0.0000 | br= 1.1921 | avg= 0.3766 | fc=0.508 |   2288 ep/s | 45.0m
[Ep   6200000/50000000] avg_r=  0.302 | h2h=  0.0000 | br= 1.1895 | avg= 0.3750 | fc=0.531 |   2258 ep/s | 45.4m
[Ep   6250000/50000000] avg_r=  0.366 | h2h=  0.0000 | br= 1.1339 | avg= 0.3700 | fc=0.510 |   2386 ep/s | 45.7m
[Ep   6300000/50000000] avg_r=  0.501 | h2h=  0.0000 | br= 1.0741 | avg= 0.3703 | fc=0.516 |   2432 ep/s | 46.1m
[Ep   6350000/50000000] avg_r=  0.433 | h2h=  0.0000 | br= 1.0309 | avg= 0.3708 | fc=0.486 |   2404 ep/s | 46.4m
[Ep   6400000/50000000] avg_r=  0.411 | h2h=  0.0000 | br= 1.0346 | avg= 0.3714 | fc=0.439 |   2397 ep/s | 46.8m
[Ep   6450000/50000000] avg_r=  0.418 | h2h=  0.0000 | br= 1.0314 | avg= 0.3722 | fc=0.498 |   2358 ep/s | 47.1m
[Ep   6500000/50000000] avg_r=  0.352 | h2h=  0.0000 | br= 1.0284 | avg= 0.3689 | fc=0.467 |   2410 ep/s | 47.5m
[Ep   6550000/50000000] avg_r=  0.345 | h2h=  0.0000 | br= 1.0322 | avg= 0.3707 | fc=0.488 |   2406 ep/s | 47.8m
[Ep   6600000/50000000] avg_r=  0.364 | h2h=  0.0000 | br= 1.0307 | avg= 0.3707 | fc=0.457 |   2397 ep/s | 48.2m
[Ep   6650000/50000000] avg_r=  0.309 | h2h=  0.0000 | br= 1.0290 | avg= 0.3706 | fc=0.480 |   2374 ep/s | 48.5m
[Ep   6700000/50000000] avg_r=  0.319 | h2h=  0.0000 | br= 1.0316 | avg= 0.3708 | fc=0.521 |   2419 ep/s | 48.8m
[Ep   6750000/50000000] avg_r=  0.324 | h2h=  0.0000 | br= 1.0316 | avg= 0.3702 | fc=0.463 |   2384 ep/s | 49.2m
[Ep   6800000/50000000] avg_r=  0.410 | h2h=  0.0000 | br= 1.0305 | avg= 0.3815 | fc=0.520 |   2361 ep/s | 49.5m
[Ep   6850000/50000000] avg_r=  0.377 | h2h=  0.0000 | br= 1.0298 | avg= 0.3814 | fc=0.471 |   2397 ep/s | 49.9m
[Ep   6900000/50000000] avg_r=  0.296 | h2h=  0.0000 | br= 1.0321 | avg= 0.3813 | fc=0.482 |   2360 ep/s | 50.2m
[Ep   6950000/50000000] avg_r=  0.370 | h2h=  0.0000 | br= 1.0280 | avg= 0.3822 | fc=0.518 |   2325 ep/s | 50.6m
[Ep   7000000/50000000] avg_r=  0.358 | h2h=  0.0000 | br= 1.0289 | avg= 0.3818 | fc=0.502 |   2410 ep/s | 51.0m
[Ep   7050000/50000000] avg_r=  0.347 | h2h=  0.0000 | br= 1.0542 | avg= 0.3780 | fc=0.404 |   2366 ep/s | 51.3m
[Ep   7100000/50000000] avg_r=  0.193 | h2h=  0.0000 | br= 1.0860 | avg= 0.3681 | fc=0.385 |   2360 ep/s | 51.7m
[Ep   7150000/50000000] avg_r=  0.288 | h2h=  0.0000 | br= 1.0620 | avg= 0.3687 | fc=0.375 |   2366 ep/s | 52.0m
[Ep   7200000/50000000] avg_r=  0.282 | h2h=  0.0000 | br= 1.0541 | avg= 0.3669 | fc=0.377 |   2467 ep/s | 52.3m
[Ep   7250000/50000000] avg_r=  0.262 | h2h=  0.0000 | br= 1.0501 | avg= 0.3706 | fc=0.406 |   2424 ep/s | 52.7m
[Ep   7300000/50000000] avg_r=  0.317 | h2h=  0.0000 | br= 1.0519 | avg= 0.3710 | fc=0.367 |   2412 ep/s | 53.0m
[Ep   7350000/50000000] avg_r=  0.305 | h2h=  0.0000 | br= 1.0505 | avg= 0.3700 | fc=0.363 |   2387 ep/s | 53.4m
[Ep   7400000/50000000] avg_r=  0.284 | h2h=  0.0000 | br= 1.0511 | avg= 0.3710 | fc=0.412 |   2403 ep/s | 53.7m
[Ep   7450000/50000000] avg_r=  0.249 | h2h=  0.0000 | br= 1.0469 | avg= 0.3703 | fc=0.375 |   2383 ep/s | 54.1m
[Ep   7500000/50000000] avg_r=  0.229 | h2h=  0.0000 | br= 1.0518 | avg= 0.3690 | fc=0.402 |   2378 ep/s | 54.4m
[Ep   7550000/50000000] avg_r=  0.304 | h2h=  0.0000 | br= 1.0468 | avg= 0.3688 | fc=0.396 |   2340 ep/s | 54.8m
[Ep   7600000/50000000] avg_r=  0.269 | h2h=  0.0000 | br= 1.0491 | avg= 0.3695 | fc=0.375 |   2362 ep/s | 55.1m
[Ep   7650000/50000000] avg_r=  0.280 | h2h=  0.0000 | br= 1.0485 | avg= 0.3708 | fc=0.387 |   2419 ep/s | 55.5m
[Ep   7700000/50000000] avg_r=  0.235 | h2h=  0.0000 | br= 1.0490 | avg= 0.3687 | fc=0.410 |   2378 ep/s | 55.8m
[Ep   7750000/50000000] avg_r=  0.222 | h2h=  0.0000 | br= 1.0492 | avg= 0.3706 | fc=0.367 |   2386 ep/s | 56.2m
[Ep   7800000/50000000] avg_r=  0.311 | h2h=  0.0000 | br= 1.0477 | avg= 0.3699 | fc=0.381 |   2347 ep/s | 56.5m
